COD. DEPT,DEPARTAMENTO,COD. LOCALI,NOMB.  LOCALIDAD,POBLACION,VIVIENDAS,POBREZA MULTIDIM.,HACINAMIENTO,NBI,SERVICIOS INSATISFECHOS.,DEP. ECONOMICA
11,BOGOTA D.C,1,USAQUEN,474.186,176.283,"0,0309","0,0426","0,0474","0,0176","0,0335"
11,BOGOTA D.C,2,CHAPINERO ,126.591,64.861,"0,0037","0,0101","0,0189","0,0189","0,0117"
11,BOGOTA D.C,3,SANTA FE,95.201,35.361,"0,0309","0,0114","0,0423","0,0035","0,0074"
11,BOGOTA D.C,4,SAN CRISTOBAL,394.358,113.258,"0,1430","0,0276","0,0394","0,0113","0,0226"
11,BOGOTA D.C,5,USME ,340.101,118.675,"0,1541","0,0272","0,0474","0,0237","0,0356"
11,BOGOTA D.C,6,TUNJUELITO,187.971,60.314,"0,1010","0,0150","0,0278","0,0012","0,0060"
11,BOGOTA D.C,7,BOSA,731.047,170.891,"0,1380","0,0365","0,0438","0,0068","0,0324"
11,BOGOTA D.C,8,KENNEDY,1.208.980,304.753,"0,1200","0,0483","0,0604","0,0060","0,0365"
11,BOGOTA D.C,9,FONTIBÓN,413.734,118.280,"0,0830","0,0165","0,0206","0,0023","0,0094"
11,BOGOTA D.C,10,ENGATIVÁ,878.434,271.811,"0,0770","0,0351","0,0439","0,0081","0,0244"
11,BOGOTA D.C,11,SUBA,1.282.978,347.261,"0,0920","0,0769","0,1026","0,0104","0,3819"
11,BOGOTA D.C,12,BARRIOS UNIDOS,267.106,84.213,"0,0600","0,0186","0,0213","0,0025","0,0042"
11,BOGOTA D.C,13,TEUSAQUILLO,140.473,58.626,"0,0150","0,0056","0,0042","0,0012","0,0012"
11,BOGOTA D.C,14,LOS MÁRTIRES,93.716,32.843,"0,1200","0,0093","0,0537","0,0013","0,0394"
11,BOGOTA D.C,15,ANTONIO NARIÑO,109.254,33.974,"0,0860","0,0043","0,0032","0,0010","0,0017"
11,BOGOTA D.C,16,PUENTE ARANDA,221.906,83.953,"0,0850","0,0066","0,0044","0,0016","0,0042"
11,BOGOTA D.C,17,LA CANDELARIA,22.438,9.694,"0,0870","0,0018","0,0022","0,0004","0,0010"
11,BOGOTA D.C,18,RAFAEL URIBE URIBE,350.944,100.583,"0,1189","0,0280","0,1050","0,0040","0,0181"
11,BOGOTA D.C,19,CIUDAD BOLIVAR,733.859,188.496,"0,1310","0,0807","0,1100","0,0282","0,0509"
11,BOGOTA D.C,20,SUMAPAZ,7.457,662,"0,1456","0,0007","0,1080","0,0106","0,0206"
